name;type;category;power;accuracy;pp;effect;secondaryEffect
Gravity;Psychic;Status;0;0;5;Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.;0
Growl;Normal;Status;0;100;40;Lowers opponent's Attack.;0
Growth;Normal;Status;0;0;20;Raises user's Attack and Special Attack.;0
Grudge;Ghost;Status;0;0;5;If the users faints after using this move, the PP for the opponent's last move is depleted.;0
Guard Split;Psychic;Status;0;0;10;Averages Defense and Special Defense with the target.;0
Guard Swap;Psychic;Status;0;0;10;User and opponent swap Defense and Special Defense.;0
Guardian of Alola;Fairy;Special;0;0;1;Tapu-exclusive Z-move. Cuts opponent's HP by 75%.;0
Guillotine;Normal;Physical;0;30;5;One-Hit-KO, if it hits.;0
Gunk Shot;Poison;Physical;120;80;5;May poison opponent.;30
Gust;Flying;Special;40;100;35;Hits Pokémon using Fly/Bounce/Sky Drop with double power.;0
Gyro Ball;Steel;Physical;0;100;5;The slower the user, the stronger the attack.;0
Hail;Ice;Status;0;0;10;Non-Ice types are damaged for 5 turns.;0
Hammer Arm;Fighting;Physical;100;90;10;Lowers user's Speed.;100
Happy Hour;Normal;Status;0;0;30;Doubles prize money from trainer battles.;0
Hard Press;Steel;Physical;0;100;10;;0
Harden;Normal;Status;0;0;30;Raises user's Defense.;0
Haze;Ice;Status;0;0;30;Resets all stat changes.;0
Head Charge;Normal;Physical;120;100;15;User receives recoil damage.;0
Head Smash;Rock;Physical;150;80;5;User receives recoil damage.;0
Headbutt;Normal;Physical;70;100;15;May cause flinching.;30
Headlong Rush;Ground;Physical;120;100;5;Lowers user's Defense.;0
Heal Bell;Normal;Status;0;0;5;Heals the user's party's status conditions.;0
Heal Block;Psychic;Status;0;100;15;Prevents the opponent from restoring HP for 5 turns.;0
Heal Order;Bug;Status;0;0;10;User recovers half its max HP.;0
Heal Pulse;Psychic;Status;0;0;10;Restores half the target's max HP.;0
Healing Wish;Psychic;Status;0;0;10;The user faints and the next Pokémon released is fully healed.;0
Heart Stamp;Psychic;Physical;60;100;25;May cause flinching.;30
Heart Swap;Psychic;Status;0;0;10;Stat changes are swapped with the opponent.;0
Heat Crash;Fire;Physical;0;100;10;The heavier the user, the stronger the attack.;0
Heat Wave;Fire;Special;95;90;10;May burn opponent.;10
Heavy Slam;Steel;Physical;0;100;10;The heavier the user, the stronger the attack.;0
Helping Hand;Normal;Status;0;0;20;In Double Battles, boosts the power of the partner's move.;0
Hex;Ghost;Special;65;100;10;Inflicts more damage if the target has a status condition.;0
Hidden Power;Normal;Special;60;100;15;Type and power depends on user's IVs.;0
High Horsepower;Ground;Physical;95;95;10;The user fiercely attacks the target using its entire body.;0
High Jump Kick;Fighting;Physical;130;90;10;If it misses, the user loses half their HP.;0
Hold Back;Normal;Physical;40;100;40;Always leaves opponent with at least 1 HP.;0
Hold Hands;Normal;Status;0;0;40;Makes the user and an ally very happy.;0
Hone Claws;Dark;Status;0;0;15;Raises user's Attack and Accuracy.;0
Horn Attack;Normal;Physical;65;100;25;;0
Horn Drill;Normal;Physical;0;30;5;One-Hit-KO, if it hits.;0
Horn Leech;Grass;Physical;75;100;10;User recovers half the HP inflicted on opponent.;0
Howl;Normal;Status;0;0;40;Raises Attack of allies.;0
Hurricane;Flying;Special;110;70;10;May confuse opponent.;30
Hydro Cannon;Water;Special;150;90;5;User must recharge next turn.;0
Hydro Pump;Water;Special;110;80;5;;0
Hydro Steam;Water;Special;80;100;15;Power increases in harsh sunlight.;0
Hydro Vortex;Water;0;0;0;1;Water type Z-Move.;0
Hyper Beam;Normal;Special;150;90;5;User must recharge next turn.;0
Hyper Drill;Normal;Physical;100;100;5;Can strike through Protect/Detect.;0
Hyper Fang;Normal;Physical;80;90;15;May cause flinching.;10
Hyper Voice;Normal;Special;90;100;10;;0
Hyperspace Fury;Dark;Physical;100;999;5;Lowers user's Defense. Can strike through Protect/Detect.;100
Hyperspace Hole;Psychic;Special;80;999;5;Can strike through Protect/Detect.;0
Hypnosis;Psychic;Status;0;60;20;Puts opponent to sleep.;0
Ice Ball;Ice;Physical;30;90;20;Doubles in power each turn for 5 turns.;0
Ice Beam;Ice;Special;90;100;10;May freeze opponent.;10
Ice Burn;Ice;Special;140;90;5;Charges on first turn, attacks on second. May burn opponent.;30
Ice Fang;Ice;Physical;65;95;15;May cause flinching and/or freeze opponent.;10
Ice Hammer;Ice;Physical;100;90;10;The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.;100
Ice Punch;Ice;Physical;75;100;15;May freeze opponent.;10
Ice Shard;Ice;Physical;40;100;30;User attacks first.;0
Ice Spinner;Ice;Physical;80;100;15;Removes effects of Terrain.;0
Icicle Crash;Ice;Physical;85;90;10;May cause flinching.;30
Icicle Spear;Ice;Physical;25;100;30;Hits 2-5 times in one turn.;0
Icy Wind;Ice;Special;55;95;15;Lowers opponent's Speed.;100
Imprison;Psychic;Status;0;0;10;Opponent is unable to use moves that the user also knows.;0
Incinerate;Fire;Special;60;100;15;Destroys the target's held berry.;0
Infernal Parade;Ghost;Special;60;100;15;Inflicts double damage if the target has a status condition.;0
Inferno;Fire;Special;100;50;5;Burns opponent.;100
Inferno Overdrive;Fire;0;0;0;1;Fire type Z-Move.;0
Infestation;Bug;Special;20;100;20;Traps opponent, damaging them for 4-5 turns.;100
Ingrain;Grass;Status;0;0;20;User restores HP each turn. User cannot escape/switch.;0
Instruct;Psychic;Status;0;0;15;Allows an ally to use a move instead.;0
Ion Deluge;Electric;Status;0;0;25;Changes Normal-type moves to Electric-type.;0
Iron Defense;Steel;Status;0;0;15;Sharply raises user's Defense.;0
Iron Head;Steel;Physical;80;100;15;May cause flinching.;30
Iron Tail;Steel;Physical;100;75;15;May lower opponent's Defense.;30
Ivy Cudgel;Grass;Physical;100;0;0;High critical hit ratio. Type changes based on form.;0
Jaw Lock;Dark;Physical;80;100;10;Prevents user and opponent from switching out.;0
Jet Punch;Water;Physical;60;100;15;Always goes first.;0
Judgment;Normal;Special;100;100;10;Type depends on the Arceus Plate being held.;0
Jump Kick;Fighting;Physical;100;95;10;If it misses, the user loses half their HP.;0
Jungle Healing;Grass;Status;0;0;10;Restores team's HP and cures status conditions.;0
Karate Chop;Fighting;Physical;50;100;25;High critical hit ratio.;0
Kinesis;Psychic;Status;0;80;15;Lowers opponent's Accuracy.;0
King's Shield;Steel;Status;0;0;10;Protects the user and lowers opponent's Attack on contact.;0
Knock Off;Dark;Physical;65;100;20;Removes opponent's held item for the rest of the battle.;0
Kowtow Cleave;Dark;Physical;85;999;10;Always hits.;0
Land's Wrath;Ground;Physical;90;100;10;;0
Laser Focus;Normal;Status;0;0;30;User's next attack is guaranteed to result in a critical hit.;0
Lash Out;Dark;Physical;75;100;5;Double power if stats were lowered during the turn.;0
Last Resort;Normal;Physical;140;100;5;Can only be used after all other moves are used.;0
Last Respects;Ghost;Physical;50;100;10;Damages increases the more party Pokémon have been defeated.;0
Lava Plume;Fire;Special;80;100;15;May burn opponent.;30
Leaf Blade;Grass;Physical;90;100;15;High critical hit ratio.;0
Leaf Storm;Grass;Special;130;90;5;Sharply lowers user's Special Attack.;100
Leaf Tornado;Grass;Special;65;90;10;May lower opponent's Accuracy.;50
Leafage;Grass;Physical;40;100;40;Strikes opponent with leaves.;0
Leech Life;Bug;Physical;80;100;10;User recovers half the HP inflicted on opponent.;0
Leech Seed;Grass;Status;0;90;10;Drains HP from opponent each turn.;0
Leer;Normal;Status;0;100;30;Lowers opponent's Defense.;100
Let's Snuggle Forever;Fairy;Physical;190;0;1;Mimikyu-exclusive Z-Move.;0
Lick;Ghost;Physical;30;100;30;May paralyze opponent.;30
Life Dew;Water;Status;0;0;10;User and teammates recover HP.;0
Light of Ruin;Fairy;Special;140;90;5;User receives recoil damage.;0
Light Screen;Psychic;Status;0;0;30;Halves damage from Special attacks for 5 turns.;0
Light That Burns the Sky;Psychic;Special;200;0;1;"Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.";0
Liquidation;Water;Physical;85;100;10;May lower opponent's Defense.;20
Lock-On;Normal;Status;0;0;5;User's next attack is guaranteed to hit.;0
Lovely Kiss;Normal;Status;0;75;10;Puts opponent to sleep.;0
Low Kick;Fighting;Physical;0;100;20;The heavier the opponent, the stronger the attack.;0
Low Sweep;Fighting;Physical;65;100;20;Lowers opponent's Speed.;100
Lucky Chant;Normal;Status;0;0;30;Opponent cannot land critical hits for 5 turns.;0
Lumina Crash;Psychic;Special;80;100;10;Harshly lowers target’s Special Defense.;0
Lunar Blessing;Psychic;Status;0;0;5;Heals user's status conditions and recovers HP.;0
Lunar Dance;Psychic;Status;0;0;10;The user faints but the next Pokémon released is fully healed.;0
Lunge;Bug;Physical;80;100;15;The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.;100
Luster Purge;Psychic;Special;95;100;5;May lower opponent's Special Defense.;50
Mach Punch;Fighting;Physical;40;100;30;User attacks first.;0
Magic Coat;Psychic;Status;0;0;15;Reflects moves that cause status conditions back to the attacker.;0
Magic Powder;Psychic;Status;0;100;20;Changes target's type to Psychic.;0
Magic Room;Psychic;Status;0;0;10;Suppresses the effects of held items for five turns.;0
Magical Leaf;Grass;Special;60;999;20;Ignores Accuracy and Evasiveness.;0
Magical Torque;Fairy;Physical;100;100;10;May confuse the opponent.;0
Magma Storm;Fire;Special;100;75;5;Traps opponent, damaging them for 4-5 turns.;100
Magnet Bomb;Steel;Physical;60;999;20;Ignores Accuracy and Evasiveness.;0
Magnet Rise;Electric;Status;0;0;10;User becomes immune to Ground-type moves for 5 turns.;0
Magnetic Flux;Electric;Status;0;0;20;Raises Defense and Sp. Defense of Plus/Minus Pokémon.;0
Magnitude;Ground;Physical;0;100;30;Hits with random power.;0
Make It Rain;Steel;Special;120;100;5;Lowers user's Special Attack. Money is earned after the battle.;0
Malicious Moonsault;Dark;Physical;180;0;1;Incineroar-exclusive Z-Move.;0
Malignant Chain;Poison;Special;100;100;5;May poison the opponent.;0
Mat Block;Fighting;Status;0;0;10;Protects teammates from damaging moves.;0
Matcha Gotcha;Grass;Special;80;90;15;Deals damage, restores HP, may burn opponent.;20
Max Airstream;Flying;0;0;0;0;Flying type Dynamax move. Raises the team's Speed.;100
Max Darkness;Dark;0;0;0;0;Dark type Dynamax move. Lowers the target's Special Defense.;100
Max Flare;Fire;0;0;0;0;Fire type Dynamax move. Summons harsh sunlight.;0
Max Flutterby;Bug;0;0;0;0;Bug type Dynamax move. Lowers the target's Special Attack.;100
Max Geyser;Water;0;0;0;0;Water type Dynamax move. Summons heavy rain.;0
Max Guard;Normal;0;0;0;0;Status category Dynamax move. Protects the user.;0
Max Hailstorm;Ice;0;0;0;0;Ice type Dynamax move. Summons hail.;0
Max Knuckle;Fighting;0;0;0;0;Fighting type Dynamax move. Increases the team's Attack.;100
Max Lightning;Electric;0;0;0;0;Electric type Dynamax move. Summons Electric Terrain.;0
Max Mindstorm;Psychic;0;0;0;0;Psychic type Dynamax move. Summons Psychic Terrain.;0
Max Ooze;Poison;0;0;0;0;Poison type Dynamax move. Increases the team's Special Attack.;100
Max Overgrowth;Grass;0;0;0;0;Grass type Dynamax move. Summons Grassy Terrain.;0
Max Phantasm;Ghost;0;0;0;0;Ghost type Dynamax move. Lowers the target's Defense.;100
Max Quake;Ground;0;0;0;0;Ground type Dynamax move. Increases the team's Special Defense.;100
Max Rockfall;Rock;0;0;0;0;Rock type Dynamax move. Summons a sandstorm.;0
Max Starfall;Fairy;0;0;0;0;Fairy type Dynamax move. Summons Misty Terrain.;0
Max Steelspike;Steel;0;0;0;0;Steel type Dynamax move. Raises the team's Defense.;100
Max Strike;Normal;0;0;0;0;Normal type Dynamax move. Lowers the target's Speed.;100
Max Wyrmwind;Dragon;0;0;0;0;Dragon type Dynamax move. Lowers the target's Attack.;100
Me First;Normal;Status;0;0;20;User copies the opponent's attack with 1.5× power.;0
Mean Look;Normal;Status;0;0;5;Opponent cannot flee or switch.;0
Meditate;Psychic;Status;0;0;40;Raises user's Attack.;0
Mega Drain;Grass;Special;40;100;15;User recovers half the HP inflicted on opponent.;0
Mega Kick;Normal;Physical;120;75;5;;0
Mega Punch;Normal;Physical;80;85;20;;0
Megahorn;Bug;Physical;120;85;10;;0
Memento;Dark;Status;0;100;10;User faints, sharply lowers opponent's Attack and Special Attack.;0
Menacing Moonraze Maelstrom;Ghost;Special;200;0;1;Lunala-exclusive Z-Move.;0
Metal Burst;Steel;Physical;0;100;10;Deals damage equal to 1.5x opponent's attack.;0
Metal Claw;Steel;Physical;50;95;35;May raise user's Attack.;10
Metal Sound;Steel;Status;0;85;40;Sharply lowers opponent's Special Defense.;0
Meteor Assault;Fighting;Physical;150;100;5;User must recharge next turn.;0
Meteor Beam;Rock;Special;120;90;10;User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.;0
Meteor Mash;Steel;Physical;90;90;10;May raise user's Attack.;20
Metronome;Normal;Status;0;0;10;User performs almost any move in the game at random.;0
Mighty Cleave;Rock;Physical;95;100;5;;0
Milk Drink;Normal;Status;0;0;5;User recovers half its max HP.;0
Mimic;Normal;Status;0;0;10;Copies the opponent's last move.;0
Mind Blown;Fire;Special;150;100;5;User receives recoil damage.;0
Mind Reader;Normal;Status;0;0;5;User's next attack is guaranteed to hit.;0
Minimize;Normal;Status;0;0;10;Sharply raises user's Evasiveness.;0
Miracle Eye;Psychic;Status;0;0;40;Resets opponent's Evasiveness, removes Dark's Psychic immunity.;0
Mirror Coat;Psychic;Special;0;100;20;When hit by a Special Attack, user strikes back with 2x power.;0
Mirror Move;Flying;Status;0;0;20;User performs the opponent's last move.;0
Mirror Shot;Steel;Special;65;85;10;May lower opponent's Accuracy.;30
Mist;Ice;Status;0;0;30;User's stats cannot be changed for a period of time.;0
Mist Ball;Psychic;Special;95;100;5;May lower opponent's Special Attack.;50
Misty Explosion;Fairy;Special;100;100;5;Power increases on Misty Terrain.;0
Misty Terrain;Fairy;Status;0;0;10;Protects the field from status conditions for 5 turns.;0
Moonblast;Fairy;Special;95;100;15;May lower opponent's Special Attack.;30
Moongeist Beam;Ghost;Special;100;100;5;Ignores the target's ability.;0
Moonlight;Fairy;Status;0;0;5;User recovers HP. Amount varies with the weather.;0
Morning Sun;Normal;Status;0;0;5;User recovers HP. Amount varies with the weather.;0
Mortal Spin;Poison;Physical;30;100;15;Removes entry hazards and trap move effects, and poisons opposing Pokémon.;0
Mountain Gale;Ice;Physical;100;85;10;Lowers user's Speed.;0
Mud Bomb;Ground;Special;65;85;10;May lower opponent's Accuracy.;30
Mud Shot;Ground;Special;55;95;15;Lowers opponent's Speed.;100
Mud Sport;Ground;Status;0;0;15;Weakens the power of Electric-type moves.;0
Mud-Slap;Ground;Special;20;100;10;Lowers opponent's Accuracy.;100
Muddy Water;Water;Special;90;85;10;May lower opponent's Accuracy.;30
Multi-Attack;Normal;Physical;120;100;10;Type matches Memory item held.;0
Mystical Fire;Fire;Special;75;100;10;Lowers opponent's Special Attack.;100
Mystical Power;Psychic;Special;70;90;10;Raises user's Special Attack.;0
Nasty Plot;Dark;Status;0;0;20;Sharply raises user's Special Attack.;0
Natural Gift;Normal;Physical;0;100;15;Power and type depend on the user's held berry.;0
Nature Power;Normal;Status;0;0;20;Uses a certain move based on the current terrain.;0
Nature's Madness;Fairy;Special;0;90;10;Halves the foe's HP.;0
Needle Arm;Grass;Physical;60;100;15;May cause flinching.;30
Never-Ending Nightmare;Ghost;0;0;0;1;Ghost type Z-Move.;0
Night Daze;Dark;Special;85;95;10;May lower opponent's Accuracy.;40
Night Shade;Ghost;Special;0;100;15;Inflicts damage equal to user's level.;0
Night Slash;Dark;Physical;70;100;15;High critical hit ratio.;0
Nightmare;Ghost;Status;0;100;15;The sleeping opponent loses 25% of its max HP each turn.;0
No Retreat;Fighting;Status;0;0;5;Raises all stats but user cannot switch out.;100
Noble Roar;Normal;Status;0;100;30;Lowers opponent's Attack and Special Attack.;100
Noxious Torque;Poison;Physical;100;100;10;May poison the opponent.;0
Nuzzle;Electric;Physical;20;100;20;Paralyzes opponent.;100
Oblivion Wing;Flying;Special;80;100;10;User recovers most of the HP inflicted on opponent.;0
Obstruct;Dark;Status;0;100;10;Protects the user and sharply lowers Defence on contact.;0
Oceanic Operetta;Water;Special;195;0;1;Primarina-exclusive Z-Move.;0
Octazooka;Water;Special;65;85;10;May lower opponent's Accuracy.;50
Octolock;Fighting;Status;0;100;15;Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.;0
Odor Sleuth;Normal;Status;0;0;40;Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.;0
Ominous Wind;Ghost;Special;60;100;5;May raise all user's stats at once.;10
Order Up;Dragon;Physical;80;100;10;Boosts Attack/Defense/Speed depending on ally Tatsugiri.;0
Origin Pulse;Water;Special;110;85;10;Hits all adjacent opponents.;0
Outrage;Dragon;Physical;120;100;10;User attacks for 2-3 turns but then becomes confused.;0
Overdrive;Electric;Special;80;100;10;Hits all adjacent opponents.;0
Overheat;Fire;Special;130;90;5;Sharply lowers user's Special Attack.;100
Pain Split;Normal;Status;0;0;20;The user's and opponent's HP becomes the average of both.;0
Parabolic Charge;Electric;Special;65;100;20;User recovers half the HP inflicted on opponent.;0
Parting Shot;Dark;Status;0;100;20;Lowers opponent's Attack and Special Attack then switches out.;100
Pay Day;Normal;Physical;40;100;20;Money is earned after the battle.;0
Payback;Dark;Physical;50;100;10;Power doubles if the user was attacked first.;0
Peck;Flying;Physical;35;100;35;;0
Perish Song;Normal;Status;0;0;5;Any Pokémon in play when this attack is used faints in 3 turns.;0
Petal Blizzard;Grass;Physical;90;100;15;Hits all adjacent Pokémon.;0
Petal Dance;Grass;Special;120;100;10;User attacks for 2-3 turns but then becomes confused.;0
Phantom Force;Ghost;Physical;90;100;10;Disappears on first turn, attacks on second. Can strike through Protect/Detect.;0
Photon Geyser;Psychic;Special;100;100;5;Uses Attack or Special Attack stat, whichever is higher.;0
Pika Papow;Electric;Special;0;999;20;Power increases when player's bond is stronger.;0
Pin Missile;Bug;Physical;25;95;20;Hits 2-5 times in one turn.;0
Plasma Fists;Electric;Physical;100;100;15;Changes Normal-type moves to Electric-type moves.;0
Play Nice;Normal;Status;0;0;20;Lowers opponent's Attack. Always hits.;100
Play Rough;Fairy;Physical;90;90;10;May lower opponent's Attack.;10
Pluck;Flying;Physical;60;100;20;If the opponent is holding a berry, its effect is stolen by user.;0
Poison Fang;Poison;Physical;50;100;15;May badly poison opponent.;50
Poison Gas;Poison;Status;0;90;40;Poisons opponent.;0
Poison Jab;Poison;Physical;80;100;20;May poison the opponent.;30
Poison Powder;Poison;Status;0;75;35;Poisons opponent.;0
Poison Sting;Poison;Physical;15;100;35;May poison the opponent.;30
Poison Tail;Poison;Physical;50;100;25;High critical hit ratio. May poison opponent.;10
Pollen Puff;Bug;Special;90;100;15;Deals damage to opponent or restores HP of teammate.;0
Poltergeist;Ghost;Physical;110;90;5;Fails if the target doesn’t have an item.;0
Population Bomb;Normal;Physical;20;90;10;Hits 1-10 times in a row.;0
Pounce;Bug;Physical;50;100;20;Lowers opponent's Speed.;100
Pound;Normal;Physical;40;100;35;;0
Powder;Bug;Status;0;100;20;Damages Pokémon using Fire type moves.;0
Powder Snow;Ice;Special;40;100;25;May freeze opponent.;10
Power Gem;Rock;Special;80;100;20;;0
Power Shift;Normal;Status;0;0;10;Switches Attack and Defense stats.;0
Power Split;Psychic;Status;0;0;10;Averages Attack and Special Attack with the target.;0
Power Swap;Psychic;Status;0;0;10;User and opponent swap Attack and Special Attack.;0
Power Trick;Psychic;Status;0;0;10;User's own Attack and Defense switch.;0
Power Trip;Dark;Physical;20;100;10;The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.;0
Power Whip;Grass;Physical;120;85;10;;0
Power-Up Punch;Fighting;Physical;40;100;20;Raises Attack.;100
Precipice Blades;Ground;Physical;120;85;10;Hits all adjacent opponents.;0
Present;Normal;Physical;0;90;15;Either deals damage or heals.;0
Prismatic Laser;Psychic;Special;160;100;10;The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.;0
Protect;Normal;Status;0;0;10;Protects the user, but may fail if used consecutively.;0
Psybeam;Psychic;Special;65;100;20;May confuse opponent.;10
Psyblade;Psychic;Physical;80;100;15;Power increases on Electric Terrain.;0
Psych Up;Normal;Status;0;0;10;Copies the opponent's stat changes.;0
Psychic;Psychic;Special;90;100;10;May lower opponent's Special Defense.;10
Psychic Fangs;Psychic;Physical;85;100;10;The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.;0
Psychic Noise;Psychic;Special;75;100;10;Deals damage and prevents target from healing.;0
Psychic Terrain;Psychic;Status;0;0;10;Prevents priority moves from being used for 5 turns.;0
Psycho Boost;Psychic;Special;140;90;5;Sharply lowers user's Special Attack.;100
Psycho Cut;Psychic;Physical;70;100;20;High critical hit ratio.;0
Psycho Shift;Psychic;Status;0;100;10;Transfers user's status condition to the opponent.;0
Psyshield Bash;Psychic;Physical;70;90;10;Raises user's Defense and Special Defense.;0
Psyshock;Psychic;Special;80;100;10;Inflicts damage based on the target's Defense, not Special Defense.;0
Psystrike;Psychic;Special;100;100;10;Inflicts damage based on the target's Defense, not Special Defense.;0
Psywave;Psychic;Special;0;100;15;Inflicts damage 50-150% of user's level.;0
Pulverizing Pancake;Normal;Physical;210;0;1;Snorlax-exclusive Normal type Z-Move.;0
Punishment;Dark;Physical;0;100;5;Power increases when opponent's stats have been raised.;0
Purify;Poison;Status;0;0;20;The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.;0
Pursuit;Dark;Physical;40;100;20;Double power if the opponent is switching out.;0
Pyro Ball;Fire;Physical;120;90;5;May burn opponent.;10
Quash;Dark;Status;0;100;15;Makes the target act last this turn.;0
Quick Attack;Normal;Physical;40;100;30;User attacks first.;0
Quick Guard;Fighting;Status;0;0;15;Protects the user's team from high-priority moves.;0
Quiver Dance;Bug;Status;0;0;20;Raises user's Special Attack, Special Defense and Speed.;0
Rage;Normal;Physical;20;100;20;Raises user's Attack when hit.;0
Rage Fist;Ghost;Physical;50;100;10;The more times the user has been hit by attacks, the greater the move's power.;0
Rage Powder;Bug;Status;0;0;20;Forces attacks to hit user, not team-mates.;0
Raging Bull;Normal;Physical;90;100;10;Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.;0
Raging Fury;Fire;Physical;120;100;10;User attacks for 2-3 turns but then becomes confused.;0
Rain Dance;Water;Status;0;0;5;Makes it rain for 5 turns.;0
Rapid Spin;Normal;Physical;50;100;40;Raises user's Speed and removes entry hazards and trap move effects.;100
Razor Leaf;Grass;Physical;55;95;25;High critical hit ratio.;0
Razor Shell;Water;Physical;75;95;10;May lower opponent's Defense.;50
Razor Wind;Normal;Special;80;100;10;Charges on first turn, attacks on second. High critical hit ratio.;0
Recover;Normal;Status;0;0;5;User recovers half its max HP.;0
Recycle;Normal;Status;0;0;10;User's used hold item is restored.;0
Reflect;Psychic;Status;0;0;20;Halves damage from Physical attacks for 5 turns.;0
Reflect Type;Normal;Status;0;0;15;User becomes the target's type.;0
Refresh;Normal;Status;0;0;20;Cures paralysis, poison, and burns.;0
Relic Song;Normal;Special;75;100;10;May put the target to sleep.;10
Rest;Psychic;Status;0;0;5;User sleeps for 2 turns, but user is fully healed.;0
Retaliate;Normal;Physical;70;100;5;Inflicts double damage if a teammate fainted on the last turn.;0
Return;Normal;Physical;0;100;20;Power increases with higher Friendship.;0
Revelation Dance;Normal;Special;90;100;15;Type changes based on Oricorio's form.;0
Revenge;Fighting;Physical;60;100;10;Power increases if user was hit first.;0
Reversal;Fighting;Physical;0;100;15;The lower the user's HP, the higher the power.;0
Revival Blessing;Normal;Status;0;0;1;Revives a fainted party Pokémon to half HP.;0
Rising Voltage;Electric;Special;70;100;20;Power doubles on Electric Terrain.;0
Roar;Normal;Status;0;0;20;In battles, the opponent switches. In the wild, the Pokémon runs.;0
Roar of Time;Dragon;Special;150;90;5;User must recharge next turn.;0
Rock Blast;Rock;Physical;25;90;10;Hits 2-5 times in one turn.;0
Rock Climb;Normal;Physical;90;85;20;May confuse opponent.;20
Rock Polish;Rock;Status;0;0;20;Sharply raises user's Speed.;0
Rock Slide;Rock;Physical;75;90;10;May cause flinching.;30
Rock Smash;Fighting;Physical;40;100;15;May lower opponent's Defense.;50
Rock Throw;Rock;Physical;50;90;15;;0
Rock Tomb;Rock;Physical;60;95;15;Lowers opponent's Speed.;100
Rock Wrecker;Rock;Physical;150;90;5;User must recharge next turn.;0
Role Play;Psychic;Status;0;0;10;User copies the opponent's Ability.;0
Rolling Kick;Fighting;Physical;60;85;15;May cause flinching.;30
Rollout;Rock;Physical;30;90;20;Doubles in power each turn for 5 turns.;0
Roost;Flying;Status;0;0;5;User recovers half of its max HP and loses the Flying type temporarily.;0
Rototiller;Ground;Status;0;0;10;Raises Attack and Special Attack of Grass-types.;100
Round;Normal;Special;60;100;15;Power increases if teammates use it in the same turn.;0
Ruination;Dark;Special;0;90;10;Halves the opponent's HP.;0
Sacred Fire;Fire;Physical;100;95;5;May burn opponent.;50
Sacred Sword;Fighting;Physical;90;100;15;Ignores opponent's stat changes.;0
Safeguard;Normal;Status;0;0;25;The user's party is protected from status conditions.;0
Salt Cure;Rock;Physical;40;100;15;"Deals damage each turn; Steel and Water types are more affected.";0
Sand Attack;Ground;Status;0;100;15;Lowers opponent's Accuracy.;0
Sand Tomb;Ground;Physical;35;85;15;Traps opponent, damaging them for 4-5 turns.;100
Sandsear Storm;Ground;Special;100;80;10;May burn target.;0
Sandstorm;Rock;Status;0;0;10;Creates a sandstorm for 5 turns.;0
Sappy Seed;Grass;Physical;90;100;15;Drains HP from opponent each turn.;100
Savage Spin-Out;Bug;0;0;0;1;Bug type Z-Move.;0
Scald;Water;Special;80;100;15;May burn opponent.;30
Scale Shot;Dragon;Physical;25;90;20;Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.;0
Scary Face;Normal;Status;0;100;10;Sharply lowers opponent's Speed.;0
Scorching Sands;Ground;Special;70;100;10;May burn the target.;0
Scratch;Normal;Physical;40;100;35;;0
Screech;Normal;Status;0;85;40;Sharply lowers opponent's Defense.;0
Searing Shot;Fire;Special;100;100;5;May burn opponent.;30
Searing Sunraze Smash;Steel;Physical;200;0;1;Solgaleo-exclusive Z-Move.;0
Secret Power;Normal;Physical;70;100;20;Effects of the attack vary with the location.;30
Secret Sword;Fighting;Special;85;100;10;Inflicts damage based on the target's Defense, not Special Defense.;0
Seed Bomb;Grass;Physical;80;100;15;;0
Seed Flare;Grass;Special;120;85;5;May lower opponent's Special Defense.;40
Seismic Toss;Fighting;Physical;0;100;20;Inflicts damage equal to user's level.;0
Self-Destruct;Normal;Physical;200;100;5;User faints.;0
Shadow Ball;Ghost;Special;80;100;15;May lower opponent's Special Defense.;20
Shadow Bone;Ghost;Physical;85;100;10;May lower opponent's Defense.;20
Shadow Claw;Ghost;Physical;70;100;15;High critical hit ratio.;0
Shadow Force;Ghost;Physical;120;100;5;Disappears on first turn, attacks on second. Can strike through Protect/Detect.;0
Shadow Punch;Ghost;Physical;60;999;20;Ignores Accuracy and Evasiveness.;0
Shadow Sneak;Ghost;Physical;40;100;30;User attacks first.;0
Sharpen;Normal;Status;0;0;30;Raises user's Attack.;0
Shattered Psyche;Psychic;0;0;0;1;Psychic type Z-Move.;0
Shed Tail;Normal;Status;0;0;10;Creates a substitute, then swaps places with a party Pokémon in waiting.;0
Sheer Cold;Ice;Special;0;30;5;One-Hit-KO, if it hits.;0
Shell Side Arm;Poison;Special;90;100;10;May poison opponent. Inflicts either Special or Physical damage, whichever is better.;0
Shell Smash;Normal;Status;0;0;15;Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.;0
